id,name,openrank,gender,country,region,age,weight(kg),height(cm),22.1Score(reps),22.1Rank,22.2Score,22.2Rank,22.3Score,22.3Rank,QFrank,weight,height,QFOneScore,QFOneRank,QFTwoScore,QFTwoRank,QFThreeScore,QFThreeRank,QFFourScore(lbs),QFFourRank,QFFiveScore,QFFiveRank,semi-ranking
466582,Emiko Naets,329,F,Switzerland,Europe,32,65.0,171.0,319,483,09:58,729,06:39,433,191,65 kg,171 cm,08:39,343,09:56,126,17:47,360,599,566,04:42,343,478.86800000000005
1140802,Valentina Magalotti,29,F,Italy,Europe,32,60.0,156.0,358,48,08:40,53,05:29,71,202,60 kg,156 cm,07:40,159,11:03,254,16:26,115,605,491,06:09,891,384.33400000000006
1316504,Maria Längfors,35,F,Sweden,Europe,26,69.0,165.0,361,31,08:25,24,05:54,164,211,69 kg,165 cm,06:45,52,13:57,736,17:07,208,600,544,04:52,406,410.622
1518913,Oihana Moya,117,F,Spain,Europe,26,62.0,165.0,321,440,08:52,91,05:34,84,80,62 kg,165 cm,10:11,741,08:55,60,16:38,140,730,12,03:20,9,267.153
905243,Sapphire Goddard,96,F,United Kingdom,Europe,25,66.0,165.0,329,335,08:22,23,05:53,156,117,66 kg,165 cm,08:30,305,10:42,207,17:15,235,635,251,04:29,256,308.85699999999997
685943,Tatiana Diakou,306,F,,Europe,22,68.0,165.0,333,171,195 reps,993,06:30,362,153,68 kg,165 cm,07:36,146,11:33,326,18:29,575,628,301,04:21,214,476.283
1458106,Lucy Campbell,38,F,United Kingdom,Europe,26,74.0,168.0,361,31,09:09,154,05:16,42,17,74 kg,168 cm,06:19,27,07:16,4,14:47,7,639,230,03:43,43,71.418
695821,Julie Hougård,502,F,Denmark,Europe,30,70.0,173.0,301,1264,198 reps,822,06:07,239,75,70 kg,173 cm,07:19,109,09:14,78,17:45,353,628,301,03:49,63,357.879
51125,Megan Lovegrove,273,F,United Kingdom,Europe,33,65.0,158.0,320,460,09:55,668,06:03,210,54,65 kg,158 cm,07:23,114,08:10,21,16:53,173,639,230,04:18,193,241.04000000000002
534813,Sanna Venäläinen,956,F,Finland,Europe,31,63.0,164.0,299,1726,183 reps,2239,06:00,196,85,63 kg,164 cm,08:24,283,09:03,66,17:40,331,665,118,04:18,193,494.15100000000007
729434,Martyna Krysiak,120,F,Poland,Europe,32,60.0,163.0,330,285,09:22,236,05:43,110,87,60 kg,163 cm,07:27,125,10:06,141,16:06,80,614,415,04:29,256,239.43000000000004
831149,Matilde Garnes,11,F,Norway,Europe,26,68.0,174.0,360,35,08:05,10,05:16,42,25,68 kg,174 cm,06:32,38,07:37,11,14:50,8,633,273,03:43,43,74.29400000000001
573055,Nelli Nurmi,809,F,Finland,Europe,28,69.0,171.0,301,1264,190 reps,1412,07:28,907,119,69 kg,171 cm,08:07,231,12:27,483,15:54,62,631,284,04:22,221,446.855
1827731,Jasmine Ghilardi,288,F,Italy,Europe,24,,,330,285,197 reps,861,06:12,265,110,,,07:12,96,09:26,87,16:34,130,600,544,04:43,349,324.23
998366,Ella Wunger,96,F,Sweden,Europe,24,65.0,170.0,332,199,09:00,119,06:00,196,38,65 kg,170 cm,06:52,61,08:54,59,18:04,434,735,10,03:28,16,206.183
951375,Claudia Gluck,537,F,France,Europe,23,60.0,160.0,327,357,184 reps,2045,05:11,33,44,60 kg,160 cm,07:06,82,07:07,3,16:41,144,623,350,03:54,79,300.17400000000004
1409302,Veslemøy Kollstad,1647,F,Norway,Europe,25,,,315,578,167 reps,5911,06:40,439,74,,,06:53,62,12:12,438,17:03,200,700,36,04:13,167,635.6800000000001
272273,Mia Hesketh,374,F,Sweden,Europe,32,68.0,168.0,333,171,188 reps,1552,05:49,135,50,68 kg,168 cm,07:12,96,09:37,97,17:59,408,672,96,03:24,13,317.659
96750,Oddrún Eik Gylfadottir,223,F,Iceland,Europe,33,58.0,163.0,317,525,09:46,519,05:36,88,172,128 lb,163 cm,07:10,89,08:32,37,17:21,255,577,856,04:53,409,409.28100000000006
698210,Karin Freyová,42,F,Slovakia,Europe,27,72.0,170.0,375,5,09:15,192,05:16,42,24,72 kg,170 cm,07:21,112,10:01,132,16:13,90,704,26,03:18,8,103.664
466656,Andrea Solberg,9,F,Norway,Europe,26,61.0,164.0,366,14,07:58,9,05:24,61,158,135 lb,164 cm,06:05,18,10:12,154,16:47,159,586,722,05:09,526,318.2180000000001
591912,Laura Horvath,103,F,Hungary,Europe,25,70.0,170.0,332,199,09:31,328,04:39,4,21,70 kg,170 cm,08:14,256,08:35,39,15:29,37,750,5,03:08,3,113.24400000000001
1330256,Linda Keesman,233,F,Netherlands,Europe,28,73.0,174.0,319,483,09:42,454,06:05,225,57,73 kg,174 cm,07:33,137,11:03,254,17:17,245,689,55,03:46,53,249.167
762495,Elena Carratala Sanahuja,44,F,Spain,Europe,28,,,351,65,09:03,133,05:24,61,35,,,06:29,35,08:46,51,16:40,143,640,218,03:58,95,138.442
8859,Ragnheiður Sara Sigmundsdottir,48,F,Iceland,Europe,29,69.0,173.0,339,117,09:00,119,05:16,42,7,69 kg,173 cm,05:50,9,08:11,23,16:10,85,690,52,03:28,16,63.847
1104398,Anaïs Lancry,1104,F,France,Europe,30,66.0,166.0,301,1264,181 reps,2498,07:31,944,167,66 kg,166 cm,08:16,263,10:29,177,18:14,478,600,544,04:15,175,648.724
