id,rank,name,gender,country,region,age,weight,height,QFOneScore,QFOneRank,QFTwoScore,QFTwoRank,QFThreeScore,QFThreeRank,QFFourScore,QFFourRank,QFFiveScore,QFFiveRank
811708,1,Justin Medeiros,M,United States,North America,23,190 lb,68 in,6:21,8,6:56,2,13:27,19,1047 lbs,77,2:44,30
686308,2,Guilherme Malheiros,M,Brazil,South America,22,90 kg,177 cm,7:27,97,7:17,12,13:30,26,1101 lbs,16,2:29,4
469656,3,Jeffrey Adler,M,Canada,North America,28,197 lb,69 in,6:31,16,7:33,34,13:11,1,1038 lbs,117,2:43,27
469626,4,Chandler Smith,M,United States,North America,29,195 lb,68 in,6:44,27,7:41,53,14:10,134,1089 lbs,25,2:35,8
2725,5,Noah Ohlsen,M,United States,North America,31,190 lb,67 in,6:02,2,7:22,17,13:45,52,1040 lbs,110,2:52,92
34796,6,Scott Panchik,M,United States,North America,34,187 lb,69 in,6:27,11,7:08,9,14:02,97,1045 lbs,86,2:51,83
310970,7,Saxon Panchik,M,United States,North America,26,180 lb,69 in,6:14,6,7:28,26,13:33,29,1019 lbs,191,2:48,54
81616,8,Björgvin Karl Guðmundsson,M,Iceland,Europe,29,185 lb,178 cm,7:20,83,7:23,18,13:47,53,1037 lbs,122,2:51,83
702092,9,Willy Georges,M,France,Europe,29,88 kg,179 cm,7:49,153,7:23,18,14:09,130,1060 lbs,55,2:46,38
158264,10,Patrick Vellner,M,Canada,North America,32,195 lb,71 in,7:47,150,7:25,22,13:49,60,1028 lbs,158,2:32,5
40955,11,Ricky Garard,M,Australia,Oceania,28,195 lb,179 cm,7:30,107,8:26,171,13:24,16,1045 lbs,86,2:48,54
975774,12,Roman Khrennikov,M,,Asia,27,95 kg,182 cm,8:01,206,7:24,20,13:33,29,1044 lbs,96,2:53,101
74320,13,Samuel Kwant,M,United States,North America,26,200 lb,71 in,7:25,94,7:39,48,14:08,122,1046 lbs,84,2:55,114
1059467,14,Lazar Đukić,M,Serbia,Europe,26,90 kg,182 cm,7:14,70,7:28,26,13:32,28,1013 lbs,225,2:56,123
478414,15,Agustin Richelme,M,Argentina,South America,25,83 kg,173 cm,6:00,1,6:59,4,13:47,53,993 lbs,370,2:48,54
681073,16,Griffin Roelle,M,United States,North America,30,205 lb,70 in,8:04,215,7:31,32,14:28,216,1128 lbs,4,2:44,30
879211,17,Phil Toon,M,United States,North America,24,195 lb,70 in,6:58,45,7:59,91,14:36,274,1063 lbs,50,2:46,38
162712,18,Spencer Panchik,M,United States,North America,26,180 lb,68 in,6:16,7,7:05,7,14:10,134,1010 lbs,246,2:55,114
156156,19,Jay Crouch,M,Australia,Oceania,23,85 kg,175 cm,7:32,113,7:49,65,13:54,69,1013 lbs,225,2:50,75
504209,20,Nicolas Bidarte,M,Argentina,South America,28,88 kg,171 cm,6:41,23,7:30,30,14:42,324,1041 lbs,104,2:51,83
173837,20,Jonne Koski,M,Finland,Europe,27,185 lb,171 cm,6:45,29,7:33,34,14:04,104,997 lbs,343,2:48,54
1772447,22,Jorge Fernandez,M,United States,North America,27,195 lb,70 in,7:09,60,8:30,185,14:35,264,1053 lbs,66,2:42,24
663689,23,Tyler Christophel,M,United States,North America,32,190 lb,70 in,7:12,67,8:23,162,14:14,153,1026 lbs,165,2:49,65
671093,24,Dallin Pepper,M,United States,North America,20,215 lb,72 in,7:15,72,7:51,67,13:34,33,983 lbs,431,2:37,11
479759,25,Bayley Martin,M,New Zealand,Oceania,22,71 kg,174 cm,8:05,219,7:37,43,14:27,212,1042 lbs,100,2:47,46
925870,26,Moritz Fiebig,M,Germany,Europe,27,218 lb,179 cm,7:42,135,7:26,24,14:50,396,1060 lbs,55,2:44,30
493511,27,Cédric Lapointe,M,Canada,North America,25,187 lb,69 in,6:08,4,8:00,94,13:36,39,1008 lbs,258,3:07,252
251546,28,Alexandre Caron,M,Canada,North America,26,205 lb,71 in,7:46,146,7:13,10,13:55,74,1001 lbs,305,2:55,114
1718365,29,Cole Greashaber,M,United States,North America,22,206 lb,72 in,7:46,146,8:16,136,13:22,13,998 lbs,335,2:44,30
35627,30,Will Moorad,M,United States,North America,33,190 lb,69 in,6:29,14,9:16,469,13:48,57,1036 lbs,128,2:40,17
45136,31,Jake Berman,M,United States,North America,26,183 lb,68 in,6:39,20,7:59,91,13:58,86,995 lbs,355,2:59,150
371085,32,André Houdet,M,Denmark,Europe,28,93 kg,183 cm,6:05,3,8:15,131,15:02,491,1056 lbs,61,2:47,46
1020449,33,Jayson Hopper,M,United States,North America,24,215 lb,73 in,8:00,204,8:46,285,14:04,104,1061 lbs,54,2:52,92
867741,34,Jack Farlow,M,Canada,North America,20,200 lb,73 in,6:50,34,8:47,293,14:28,216,1085 lbs,28,3:01,177
6346,35,Sam Stewart,M,Ireland,Europe,25,87 kg,69 in,7:06,56,7:33,34,14:48,376,1014 lbs,218,2:49,65
107101,36,Brent Fikowski,M,Canada,North America,31,220 lb,74 in,7:10,61,8:49,300,14:31,241,1033 lbs,140,2:36,9
755342,37,Zachery Buntin,M,United States,North America,28,205 lb,72 in,7:32,113,8:28,178,14:50,396,1079 lbs,35,2:45,36
901503,38,Kaique Cerveny,M,Brazil,South America,24,96 kg,,7:57,190,8:35,214,14:14,153,1032 lbs,145,2:49,65
1105497,39,Guillaume Briant,M,France,Europe,28,87 kg,180 cm,8:23,287,8:38,230,14:00,94,1063 lbs,50,2:56,123
153625,40,Cole Sager,M,United States,North America,31,202 lb,71 in,7:02,51,7:20,14,14:27,212,993 lbs,370,3:04,213
