id,name,openrank,gender,country,region,age,weight(kg),height(cm),22.1Score(reps),22.1Rank,22.2Score,22.2Rank,22.3Score,22.3Rank,QFrank,weight,height,QFOneScore,QFOneRank,QFTwoScore,QFTwoRank,QFThreeScore,QFThreeRank,QFFourScore(lbs),QFFourRank,QFFiveScore,QFFiveRank,semi-ranking
902935,Olivia Kelly,2811,F,Australia,Oceania,28,73.0,163.0,271,4379,168 reps,5588,07:53,1226,404,73 kg,163 cm,13:04,1641,13:43,689,18:51,682,714,17,04:07,132,1413.538
1001544,Jade Williams,194,F,Australia,Oceania,31,,,313,636,08:46,68,06:14,272,415,,,08:29,302,14:26,815,20:06,1199,619,378,05:14,548,864.898
1263915,Julia Hannaford,1504,F,Australia,Oceania,21,,,302,1094,171 reps,4612,07:02,627,390,,,07:05,80,12:45,525,21:21,1820,612,429,04:20,208,1250.845
554143,Bailey Rogers,155,F,New Zealand,Oceania,31,74.0,170.0,331,227,09:22,236,06:21,320,53,74 kg,170 cm,07:23,114,11:54,385,16:37,138,685,62,03:33,24,203.23799999999997
1347023,Gemma Hauck,328,F,Australia,Oceania,23,,,301,1264,09:25,264,05:45,116,94,,,09:17,504,09:33,94,17:46,357,701,31,04:04,119,375.218
1119323,Ellie Turner,7,F,Australia,Oceania,24,,167.0,366,14,08:27,26,05:10,26,15,,167 cm,07:36,146,08:47,52,15:26,34,680,69,03:03,1,71.62800000000001
28735,Amy Alessi,933,F,Australia,Oceania,31,59.0,154.0,287,2388,191 reps,1289,06:34,390,314,130 lb,154 cm,08:13,251,10:07,145,19:29,933,579,832,04:35,300,840.307
1672646,Adrienne Geary,322,F,Australia,Oceania,24,,,308,790,09:38,397,06:38,424,214,,,09:40,600,13:24,628,18:00,418,663,129,04:17,190,547.2330000000001
264512,Jamie Simmonds,10,F,New Zealand,Oceania,31,61.0,163.0,362,24,08:36,42,05:05,20,101,135 lb,163 cm,07:08,84,07:58,18,15:16,23,598,573,04:59,455,220.57600000000008
21556,Madeline Sturt,111,F,Australia,Oceania,25,63.0,158.0,320,460,08:58,110,04:54,12,56,63 kg,158 cm,07:11,93,07:40,13,16:36,133,622,355,04:08,141,192.13400000000001
1190953,Danielle Ford,544,F,New Zealand,Oceania,26,,,311,695,193 reps,1125,07:05,657,170,,,08:04,221,11:36,338,16:07,81,604,517,05:03,482,454.994
1321769,Katie Brock,559,F,New Zealand,Oceania,28,,,330,285,195 reps,993,07:55,1259,400,,,10:15,763,13:25,631,15:53,60,558,1145,05:10,530,738.118
648048,Georgia Welsman,1660,F,Australia,Oceania,27,58.0,165.0,273,3672,183 reps,2239,07:40,1055,357,58 kg,165 cm,08:38,338,10:57,236,18:49,672,561,1096,04:58,447,1010.1880000000002
1976672,Grace Walton,184,F,Australia,Oceania,21,70.0,164.0,331,227,09:27,283,06:37,417,222,70 kg,164 cm,09:46,626,14:04,754,18:15,484,675,81,03:47,57,530.9319999999999
2942,Kara Saunders,43,F,Australia,Oceania,32,72.0,162.0,339,117,09:02,130,04:26,3,2,158 lb,162 cm,06:29,35,07:05,2,15:55,63,755,4,03:22,12,48.229
1224765,Georgia Otto,2078,F,Australia,Oceania,23,60.0,165.0,280,2962,174 reps,3993,08:19,1586,403,60 kg,165 cm,08:58,424,11:54,385,18:36,607,590,668,06:36,1069,1161.9450000000002
503203,Emma Wright,1942,F,New Zealand,Oceania,30,69.0,165.0,299,1726,170 reps,4894,08:10,1462,236,69 kg,165 cm,08:49,390,11:34,328,18:58,720,632,280,04:47,374,975.8080000000001
690070,Rachel Toomua-Faumuina,881,F,Australia,Oceania,30,,,304,949,183 reps,2239,07:05,657,160,,,08:49,390,11:26,315,18:17,498,636,247,04:12,159,614.6
1240398,Emily de Rooy,493,F,Australia,Oceania,21,76.0,175.0,312,667,194 reps,1050,06:57,582,322,76 kg,175 cm,10:45,908,14:54,926,17:30,296,628,301,03:54,79,686.022
101651,Joelene Neville,786,F,New Zealand,Oceania,36,75.0,169.0,303,996,191 reps,1289,07:51,1195,321,75 kg,169 cm,10:06,716,12:47,534,19:09,775,615,397,03:56,87,799.684
1212379,Georgia Pryer,1177,F,Australia,Oceania,22,60.0,167.0,306,857,174 reps,3993,05:52,149,187,60 kg,167 cm,07:50,186,09:05,69,17:20,251,577,856,04:46,367,674.4160000000002
670481,Castell Pridgen,915,F,Australia,Oceania,30,78.0,180.0,291,2125,193 reps,1125,07:10,723,352,172 lb,180 cm,11:52,1259,14:00,743,17:18,247,617,388,04:02,111,821.8360000000001
2185883,Tahlia Jordan,887,F,Australia,Oceania,27,60.0,158.0,309,754,183 reps,2239,07:24,863,338,60 kg,158 cm,09:58,678,12:13,440,18:36,607,622,355,05:14,548,828.482
10736,Carrie Freestone,1186,F,Australia,Oceania,39,61.0,157.0,287,2388,183 reps,2239,06:40,439,316,135 lb,157 cm,09:11,471,11:31,322,18:09,456,593,633,05:20,590,838.8100000000001
1212617,Bec Glenister,701,F,Australia,Oceania,29,,,302,1094,188 reps,1552,06:42,463,378,,,10:24,802,14:27,821,16:52,171,583,774,04:53,409,793.907
75165,Lucy Clark,1200,F,Australia,Oceania,32,65.0,170.0,286,2458,183 reps,2239,06:39,433,354,65 kg,170 cm,10:11,741,11:55,390,18:54,697,600,544,04:49,389,950.278
156230,Chloe Gregory,613,F,New Zealand,Oceania,32,67.0,175.0,301,1264,09:57,707,07:20,818,184,147 lb,175 cm,08:39,343,12:52,547,17:05,204,614,415,04:21,214,509.207
163097,Tia-Clair Toomey,2,F,Australia,Oceania,28,58.0,163.0,375,5,07:05,1,04:12,2,1,58 kg,163 cm,05:28,4,06:29,1,14:07,3,748,7,03:08,3,4.359
1277109,Elly Hutchens,300,F,Australia,Oceania,24,65.0,168.0,311,695,09:49,568,06:05,225,133,65 kg,168 cm,10:04,708,10:56,232,16:36,133,636,247,03:50,64,392.295
